"VGISS_8201","DATA/C08966XX/C0896651_RAW.LBL    ","C0896651_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0389N2-081", 8966.51,"1989-06-05T09:10:48","1989-06-06T15:23:25","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  30.7200,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896651_RESLOC.LBL ","C0896651_RESLOC.DAT ","RESEAU_TABLE                 ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0389N2-081", 8966.51,"1989-06-05T09:10:48","1989-06-06T15:23:25","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  30.7200,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896658_CALIB.LBL  ","C0896658_CALIB.IMG  ","CALIBRATED_IMAGE             ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0396N2-081", 8966.58,"1989-06-05T09:16:24","1989-06-06T15:29:01","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0, 111.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME-CAMERA NOT ON      ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896658_CLEANED.LBL","C0896658_CLEANED.IMG","CLEANED_IMAGE                ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0396N2-081", 8966.58,"1989-06-05T09:16:24","1989-06-06T15:29:01","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0, 111.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME-CAMERA NOT ON      ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896658_GEOMA.LBL  ","C0896658_GEOMA.DAT  ","TIEPOINT_TABLE               ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0396N2-081", 8966.58,"1989-06-05T09:16:24","1989-06-06T15:29:01","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0, 111.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME-CAMERA NOT ON      ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896658_GEOMED.LBL ","C0896658_GEOMED.IMG ","GEOMETRICALLY_CORRECTED_IMAGE","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0396N2-081", 8966.58,"1989-06-05T09:16:24","1989-06-06T15:29:01","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0, 111.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME-CAMERA NOT ON      ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896658_RAW.LBL    ","C0896658_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0396N2-081", 8966.58,"1989-06-05T09:16:24","1989-06-06T15:29:01","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0, 111.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME-CAMERA NOT ON      ","11111111","NONE  "
"VGISS_8201","DATA/C08966XX/C0896658_RESLOC.LBL ","C0896658_RESLOC.DAT ","RESEAU_TABLE                 ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0396N2-081", 8966.58,"1989-06-05T09:16:24","1989-06-06T15:29:01","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0, 111.3600,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME-CAMERA NOT ON      ","11111111","NONE  "
"VGISS_8201","DATA/C08970XX/C0897059_CALIB.LBL  ","C0897059_CALIB.IMG  ","CALIBRATED_IMAGE             ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0637N2-081", 8970.59,"1989-06-05T12:29:12","1989-06-06T15:33:52","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   2.8800,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08970XX/C0897059_CLEANED.LBL","C0897059_CLEANED.IMG","CLEANED_IMAGE                ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0637N2-081", 8970.59,"1989-06-05T12:29:12","1989-06-06T15:33:52","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   2.8800,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08970XX/C0897059_GEOMA.LBL  ","C0897059_GEOMA.DAT  ","TIEPOINT_TABLE               ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0637N2-081", 8970.59,"1989-06-05T12:29:12","1989-06-06T15:33:52","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   2.8800,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08970XX/C0897059_GEOMED.LBL ","C0897059_GEOMED.IMG ","GEOMETRICALLY_CORRECTED_IMAGE","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0637N2-081", 8970.59,"1989-06-05T12:29:12","1989-06-06T15:33:52","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   2.8800,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
"VGISS_8201","DATA/C08970XX/C0897059_RAW.LBL    ","C0897059_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","NEPTUNE ENCOUNTER","NEPTUNE   ","0637N2-081", 8970.59,"1989-06-05T12:29:12","1989-06-06T15:33:52","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   2.8800,"ROUTINE MULTISPECTRAL ATMOSPHERIC LONGITUDE COVERAGE 5 FRAME                    ","11111111","NONE  "
